# File: ../../samples/ephem_short.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55462.28472222,-1.38111202,-1.00027667,-0.72654696
55462.28819444,-1.17744405,-1.14086103,-0.82105693
55462.29166667,-0.94734674,-1.25579240,-0.89708287
55462.29513889,-0.69519294,-1.34141949,-0.95215068
55462.29861111,-0.42618627,-1.39442278,-0.98403558
55462.30208333,-0.14639773,-1.41195549,-0.99086158
55462.30555556,0.13723199,-1.39182083,-0.97122586
55462.30902778,0.41694636,-1.33268354,-0.92434589
55462.31250000,0.68430865,-1.23430579,-0.85022205
55462.31597222,0.93044431,-1.09778663,-0.74980061
55462.31944444,1.14640805,-0.92577060,-0.62511250
55462.32291667,1.32367514,-0.72257897,-0.47935543
55462.32638889,1.45472765,-0.49421148,-0.31688330
55462.32986111,1.53367091,-0.24817490,-0.14307370
55462.33333333,1.55678533,0.00687879,0.03593678
55462.33680556,1.52290887,0.26168012,0.21362998
55462.34027778,1.43356801,0.50696709,0.38354685
55462.34375000,1.29282631,0.73411015,0.53972233
55462.34722222,1.10688398,0.93563954,0.67704695
55462.35069444,0.88351248,1.10560616,0.79150848
55462.35416667,0.63142994,1.23975139,0.88029836
55462.35763889,0.35971211,1.33550282,0.94179706
55462.36111111,0.07730289,1.39183994,0.97547018
55462.36458333,-0.20734760,1.40908220,0.98171263
55462.36805556,-0.48651836,1.38864633,0.96167392
55462.37152778,-0.75334519,1.33280765,0.91708830
55462.37500000,-1.00186667,1.24448630,0.85012403
55462.37847222,-1.22701479,1.12706837,0.76325814
55462.38194444,-1.42457205,0.98426386,0.65917771
55462.38541667,-1.59111239,0.81999889,0.54070546
55462.38888889,-1.72393787,0.63833725,0.41074599
55462.39236111,-1.82101916,0.44342566,0.27224847
55462.39583333,-1.88094506,0.23945718,0.12818197
55462.39930556,-1.90288382,0.03064768,-0.01848038
55462.40277778,-1.88655803,-0.17877911,-0.16477146
55462.40625000,-1.83223386,-0.38460203,-0.30773736
55462.40972222,-1.74072470,-0.58261226,-0.44444449
55462.41319444,-1.61340924,-0.76862604,-0.57198894
55462.41666667,-1.45226304,-0.93850437,-0.68751110
55462.42013889,-1.25990229,-1.08818385,-0.78821838
55462.42361111,-1.03963725,-1.21372355,-0.87141920
55462.42708333,-0.79553089,-1.31137310,-0.93457219
55462.43055556,-0.53245600,-1.37766762,-0.97535395
55462.43402778,-0.25614022,-1.40955474,-0.99174913
55462.43750000,0.02681585,-1.40455725,-0.98216484
55462.44097222,0.30896766,-1.36097161,-0.94556913
55462.44444444,0.58212682,-1.27809592,-0.88164854
55462.44791667,0.83755862,-1.15647115,-0.79097281
55462.45138889,1.06629845,-0.99810701,-0.67514611
55462.45486111,1.25959543,-0.80665008,-0.53691511
55462.45833333,1.40946658,-0.58744316,-0.38019826
55462.46180556,1.50931090,-0.34742678,-0.21000326
55462.46527778,1.55449916,-0.09485281,-0.03221329
55462.46875000,1.54283488,0.16118307,0.14675073
55462.47222222,1.47479173,0.41133828,0.32035370
55462.47569444,1.35347326,0.64666068,0.48239202
55462.47916667,1.18430291,0.85916526,0.62739091
55462.48263889,0.97451155,1.04226694,0.75089644
55462.48611111,0.73252338,1.19102650,0.84963433
55462.48958333,0.46734296,1.30221147,0.92153923
55462.49305556,0.18802076,1.37420735,0.96568070
55462.49652778,-0.09676057,1.40683032,0.98212297
55462.50000000,-0.37897018,1.40109181,0.97175363
