# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.06388889,0.48293210,3.94134794,-0.09590454,3.09025920e+11,3.34961280e+11,7.12128000e+10,1.65994800e+10,4.73658000e+09,1.28310750e+09,4.88137500e+08,1.18290938e+08,2.35610173e+07,6.12867195e+06
53219.06458333,0.46446258,3.95325747,-0.08232013,3.12374400e+11,3.38674560e+11,7.20278400e+10,1.67780400e+10,4.78578000e+09,1.29585750e+09,4.93132500e+08,1.19607187e+08,2.38197673e+07,6.19347662e+06
53219.06527778,0.44595210,3.96481934,-0.06872834,3.15722880e+11,3.42387840e+11,7.28428800e+10,1.69566000e+10,4.83498000e+09,1.30860750e+09,4.98127500e+08,1.20923438e+08,2.40785173e+07,6.25828131e+06
53219.06597222,0.42740284,3.97603497,-0.05513059,3.19096320e+11,3.46131840e+11,7.36660800e+10,1.71372000e+10,4.88484000e+09,1.32154500e+09,5.03201250e+08,1.22262187e+08,2.43426579e+07,6.32466804e+06
53219.06666667,0.40881639,3.98690561,-0.04152813,3.22494720e+11,3.49906560e+11,7.44974400e+10,1.73198400e+10,4.93536000e+09,1.33467000e+09,5.08353750e+08,1.23623438e+08,2.46121892e+07,6.39263682e+06
53219.06736111,0.39019463,3.99743267,-0.02792206,3.25893120e+11,3.53681280e+11,7.53288000e+10,1.75024800e+10,4.98588000e+09,1.34779500e+09,5.13506250e+08,1.24984687e+08,2.48817205e+07,6.46060559e+06
53219.06805556,0.37153958,4.00761756,-0.01431347,3.29291520e+11,3.57456000e+11,7.61601601e+10,1.76851200e+10,5.03640000e+09,1.36092000e+09,5.18658750e+08,1.26345938e+08,2.51512518e+07,6.52857438e+06
53219.06875000,0.35285284,4.01746123,-0.00070379,3.32689920e+11,3.61230720e+11,7.69915200e+10,1.78677600e+10,5.08692000e+09,1.37404500e+09,5.23811250e+08,1.27707188e+08,2.54207831e+07,6.59654315e+06
53219.06944444,0.33413627,4.02696494,0.01290589,3.36088320e+11,3.65005440e+11,7.78228800e+10,1.80504000e+10,5.13744000e+09,1.38717000e+09,5.28963750e+08,1.29068437e+08,2.56903143e+07,6.66451193e+06
53219.07013889,0.31539161,4.03613009,0.02651463,3.39486720e+11,3.68780160e+11,7.86542400e+10,1.82330400e+10,5.18796000e+09,1.40029500e+09,5.34116250e+08,1.30429688e+08,2.59598456e+07,6.73248071e+06
53219.07083333,0.29662042,4.04495762,0.04012101,3.42885120e+11,3.72554880e+11,7.94856000e+10,1.84156800e+10,5.23848000e+09,1.41342000e+09,5.39268750e+08,1.31790937e+08,2.62293769e+07,6.80044948e+06
53219.07152778,0.27782474,4.05344880,0.05372426,3.46283520e+11,3.76329600e+11,8.03169600e+10,1.85983200e+10,5.28900000e+09,1.42654500e+09,5.44421250e+08,1.33152188e+08,2.64989082e+07,6.86841827e+06
