# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.05763889,0.64699287,3.81827803,-0.21762557,1.91312200e+11,1.04330585e+11,2.28738036e+10,5.46311207e+09,1.61465201e+09,5.24511978e+08,2.02250476e+08,7.04267229e+07,1.83272044e+07,4.59496795e+06
53219.05833333,0.62898120,3.83338288,-0.20416515,1.93654322e+11,1.05622082e+11,2.31591732e+10,5.52960172e+09,1.63382567e+09,5.30674640e+08,2.04678138e+08,7.12936350e+07,1.85540032e+07,4.65268574e+06
53219.05902778,0.61091019,3.84812641,-0.19068527,1.96021716e+11,1.06928677e+11,2.34485278e+10,5.59714829e+09,1.65333624e+09,5.36958208e+08,2.07158455e+08,7.21813275e+07,1.87871683e+07,4.71219209e+06
53219.05972222,0.59278205,3.86251020,-0.17718781,1.98414384e+11,1.08250368e+11,2.37418673e+10,5.66575176e+09,1.67318372e+09,5.43362680e+08,2.09691428e+08,7.30898001e+07,1.90266995e+07,4.77348700e+06
53219.06041667,0.57459898,3.87653597,-0.16367372,2.00807052e+11,1.09572060e+11,2.40352068e+10,5.73435524e+09,1.69303119e+09,5.49767153e+08,2.12224400e+08,7.39982728e+07,1.92662308e+07,4.83478191e+06
53219.06111111,0.55636317,3.89020514,-0.15014471,2.03199719e+11,1.10893751e+11,2.43285462e+10,5.80295871e+09,1.71287866e+09,5.56171625e+08,2.14757373e+08,7.49067453e+07,1.95057620e+07,4.89607681e+06
53219.06180556,0.53807650,3.90351943,-0.13660190,2.05592387e+11,1.12215443e+11,2.46218857e+10,5.87156219e+09,1.73272614e+09,5.62576099e+08,2.17290346e+08,7.58152180e+07,1.97452933e+07,4.95737172e+06
53219.06250000,0.51974102,3.91648041,-0.12304668,2.07959047e+11,1.13521543e+11,2.49100384e+10,5.93779886e+09,1.75180881e+09,5.68742267e+08,2.19746264e+08,7.66961369e+07,1.99735071e+07,5.01475110e+06
53219.06319444,0.50135893,3.92908934,-0.10948047,2.10299701e+11,1.14812053e+11,2.51930042e+10,6.00166872e+09,1.77012667e+09,5.74670132e+08,2.22125129e+08,7.75495022e+07,2.01904036e+07,5.06821496e+06
53219.06388889,0.48293210,3.94134794,-0.09590454,2.12640355e+11,1.16102563e+11,2.54759701e+10,6.06553860e+09,1.78844454e+09,5.80597997e+08,2.24503995e+08,7.84028675e+07,2.04073000e+07,5.12167882e+06
53219.06458333,0.46446258,3.95325747,-0.08232013,2.14981009e+11,1.17393073e+11,2.57589359e+10,6.12940846e+09,1.80676240e+09,5.86525862e+08,2.26882860e+08,7.92562327e+07,2.06241965e+07,5.17514268e+06
53219.06527778,0.44595210,3.96481934,-0.06872834,2.17321663e+11,1.18683583e+11,2.60419018e+10,6.19327834e+09,1.82508027e+09,5.92453728e+08,2.29261726e+08,8.01095980e+07,2.08410930e+07,5.22860655e+06
53219.06597222,0.42740284,3.97603497,-0.05513059,2.19682369e+11,1.19985936e+11,2.63279154e+10,6.25795189e+09,1.84366183e+09,5.98475785e+08,2.31681533e+08,8.09791556e+07,2.10628908e+07,5.28337559e+06
53219.06666667,0.40881639,3.98690561,-0.04152813,2.22063126e+11,1.21300134e+11,2.66169766e+10,6.32342914e+09,1.86250708e+09,6.04592036e+08,2.34142283e+08,8.18649058e+07,2.12895901e+07,5.33944984e+06
53219.06736111,0.39019463,3.99743267,-0.02792206,2.24443883e+11,1.22614331e+11,2.69060379e+10,6.38890639e+09,1.88135233e+09,6.10708285e+08,2.36603033e+08,8.27506557e+07,2.15162894e+07,5.39552407e+06
53219.06805556,0.37153958,4.00761756,-0.01431347,2.26824641e+11,1.23928528e+11,2.71950991e+10,6.45438364e+09,1.90019758e+09,6.16824536e+08,2.39063783e+08,8.36364059e+07,2.17429887e+07,5.45159832e+06
53219.06875000,0.35285284,4.01746123,-0.00070379,2.29205398e+11,1.25242725e+11,2.74841604e+10,6.51986089e+09,1.91904283e+09,6.22940785e+08,2.41524533e+08,8.45221559e+07,2.19696879e+07,5.50767256e+06
53219.06944444,0.33413627,4.02696494,0.01290589,2.31586155e+11,1.26556923e+11,2.77732216e+10,6.58533813e+09,1.93788808e+09,6.29057035e+08,2.43985283e+08,8.54079058e+07,2.21963872e+07,5.56374679e+06
53219.07013889,0.31539161,4.03613009,0.02651463,2.33966913e+11,1.27871120e+11,2.80622829e+10,6.65081538e+09,1.95673334e+09,6.35173285e+08,2.46446033e+08,8.62936560e+07,2.24230865e+07,5.61982104e+06
53219.07083333,0.29662042,4.04495762,0.04012101,2.36347670e+11,1.29185317e+11,2.83513441e+10,6.71629263e+09,1.97557859e+09,6.41289535e+08,2.48906783e+08,8.71794060e+07,2.26497858e+07,5.67589527e+06
53219.07152778,0.27782474,4.05344880,0.05372426,2.38728427e+11,1.30499514e+11,2.86404054e+10,6.78176988e+09,1.99442384e+09,6.47405785e+08,2.51367534e+08,8.80651561e+07,2.28764851e+07,5.73196952e+06
