# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.54652778,0.79724165,3.67350421,-0.31509873,1.02028679e+05,5.69974289e+04,1.31052389e+04,2.56930161e+03,7.17739046e+02,1.93520248e+02,5.26022501e+01,1.29416501e+01,2.88684992e+00,8.65424925e-01
53219.54722222,0.77981966,3.69174959,-0.30178632,1.00696518e+05,5.61777649e+04,1.28887024e+04,2.51995230e+03,7.02764571e+02,1.88897341e+02,5.12509495e+01,1.25669502e+01,2.79015000e+00,8.34074977e-01
53219.54791667,0.76231777,3.70961718,-0.28844284,1.22913376e+05,6.48258743e+04,1.43446217e+04,2.75399661e+03,7.06340492e+02,1.85637504e+02,4.91141006e+01,1.19069004e+01,2.72647501e+00,8.25825031e-01
53219.54861111,0.74473867,3.72710918,-0.27507016,1.22913376e+05,6.48258743e+04,1.43446217e+04,2.75399661e+03,7.06340492e+02,1.85637504e+02,4.91141006e+01,1.19069004e+01,2.72647501e+00,8.25825031e-01
53219.54930556,0.72708501,3.74422746,-0.26167002,1.22913376e+05,6.48258743e+04,1.43446217e+04,2.75399661e+03,7.06340492e+02,1.85637504e+02,4.91141006e+01,1.19069004e+01,2.72647501e+00,8.25825031e-01
53219.55000000,0.70935899,3.76097391,-0.24824382,1.52081528e+05,7.55190277e+04,1.55143394e+04,2.81590223e+03,7.08871067e+02,1.82699293e+02,4.77382988e+01,1.15566999e+01,2.66615022e+00,8.18400003e-01
53219.55069444,0.69156328,3.77735026,-0.23479313,1.52081528e+05,7.55190277e+04,1.55143394e+04,2.81590223e+03,7.08871067e+02,1.82699293e+02,4.77382988e+01,1.15566999e+01,2.66615022e+00,8.18400003e-01
53219.55138889,0.67370009,3.79335871,-0.22131953,1.52081528e+05,7.55190277e+04,1.55143394e+04,2.81590223e+03,7.08871067e+02,1.82699293e+02,4.77382988e+01,1.15566999e+01,2.66615022e+00,8.18400003e-01
53219.55208333,0.65577207,3.80900082,-0.20782474,1.85470322e+05,8.73953171e+04,1.62359390e+04,2.84843969e+03,7.09377170e+02,1.79884955e+02,4.62913513e+01,1.11719500e+01,2.60427501e+00,8.08499986e-01
53219.55277778,0.63778111,3.82427847,-0.19430986,1.85470322e+05,8.73953171e+04,1.62359390e+04,2.84843969e+03,7.09377170e+02,1.79884955e+02,4.62913513e+01,1.11719500e+01,2.60427501e+00,8.08499986e-01
53219.55347222,0.61972956,3.83919324,-0.18077662,1.82513702e+05,8.59011993e+04,1.58871326e+04,2.77932096e+03,6.91039622e+02,1.74633399e+02,4.47993986e+01,1.07659996e+01,2.49300012e+00,7.72200001e-01
53219.55416667,0.60161995,3.85374702,-0.16722643,2.25434219e+05,1.02434212e+05,1.73701496e+04,2.84671330e+03,6.90463364e+02,1.72103956e+02,4.31487523e+01,1.01775508e+01,2.49979994e+00,7.86224962e-01
53219.55486111,0.58345414,3.86794136,-0.15366053,2.25434219e+05,1.02434212e+05,1.73701496e+04,2.84671330e+03,6.90463364e+02,1.72103956e+02,4.31487523e+01,1.01775508e+01,2.49979994e+00,7.86224962e-01
53219.55555556,0.56523434,3.88177800,-0.14008052,2.25434219e+05,1.02434212e+05,1.73701496e+04,2.84671330e+03,6.90463364e+02,1.72103956e+02,4.31487523e+01,1.01775508e+01,2.49979994e+00,7.86224962e-01
53219.55625000,0.54696258,3.89525851,-0.12648747,2.69901642e+05,1.17414131e+05,1.80953846e+04,2.87975931e+03,6.89134181e+02,1.69212356e+02,4.21615504e+01,9.84934997e+00,2.49347510e+00,7.85399985e-01
53219.55694444,0.52864123,3.90838429,-0.11288313,2.69901642e+05,1.17414131e+05,1.80953846e+04,2.87975931e+03,6.89134181e+02,1.69212356e+02,4.21615504e+01,9.84934997e+00,2.49347510e+00,7.85399985e-01
53219.55763889,0.51027201,3.92115692,-0.09926843,2.69901642e+05,1.17414131e+05,1.80953846e+04,2.87975931e+03,6.89134181e+02,1.69212356e+02,4.21615504e+01,9.84934997e+00,2.49347510e+00,7.85399985e-01
53219.55833333,0.49185695,3.93357813,-0.08564493,3.18676056e+05,1.33176056e+05,1.89213638e+04,2.93230152e+03,6.85426533e+02,1.66676506e+02,4.10904996e+01,9.45609994e+00,2.48842500e+00,7.84575008e-01
53219.55902778,0.47339826,3.94564901,-0.07201375,3.18676056e+05,1.33176056e+05,1.89213638e+04,2.93230152e+03,6.85426533e+02,1.66676506e+02,4.10904996e+01,9.45609994e+00,2.48842500e+00,7.84575008e-01
53219.55972222,0.45489751,3.95737130,-0.05837613,3.13318726e+05,1.30743713e+05,1.85155926e+04,2.86246800e+03,6.67155504e+02,1.61979690e+02,3.97872999e+01,9.11090057e+00,2.38012499e+00,7.48274964e-01
53219.56041667,0.43635704,3.96874623,-0.04473349,3.13318726e+05,1.30743713e+05,1.85155926e+04,2.86246800e+03,6.67155504e+02,1.61979690e+02,3.97872999e+01,9.11090057e+00,2.38012499e+00,7.48274964e-01
53219.56111111,0.41777844,3.97977524,-0.03108692,3.56670807e+05,1.41170807e+05,1.85629959e+04,2.88955784e+03,6.60651565e+02,1.58112556e+02,3.82883511e+01,8.61314964e+00,2.37544999e+00,7.48274964e-01
53219.56180556,0.39916374,3.99045957,-0.01743769,3.56670807e+05,1.41170807e+05,1.85629959e+04,2.88955784e+03,6.60651565e+02,1.58112556e+02,3.82883511e+01,8.61314964e+00,2.37544999e+00,7.48274964e-01
53219.56250000,0.38051466,4.00080079,-0.00378688,3.56670807e+05,1.41170807e+05,1.85629959e+04,2.88955784e+03,6.60651565e+02,1.58112556e+02,3.82883511e+01,8.61314964e+00,2.37544999e+00,7.48274964e-01
53219.56319444,0.36183309,4.01079969,0.00986423,4.04925293e+05,1.53625290e+05,1.98096676e+04,2.88154197e+03,6.49510741e+02,1.50389701e+02,3.49844992e+01,7.45750032e+00,2.37040012e+00,7.47449987e-01
53219.56388889,0.34312061,4.02045800,0.02351441,4.04925293e+05,1.53625290e+05,1.98096676e+04,2.88154197e+03,6.49510741e+02,1.50389701e+02,3.49844992e+01,7.45750032e+00,2.37040012e+00,7.47449987e-01
53219.56458333,0.32437924,4.02977665,0.03716270,4.04925293e+05,1.53625290e+05,1.98096676e+04,2.88154197e+03,6.49510741e+02,1.50389701e+02,3.49844992e+01,7.45750032e+00,2.37040012e+00,7.47449987e-01
53219.56527778,0.30561072,4.03875706,0.05080785,4.04925293e+05,1.53625290e+05,1.98096676e+04,2.88154197e+03,6.49510741e+02,1.50389701e+02,3.49844992e+01,7.45750032e+00,2.37040012e+00,7.47449987e-01
53219.56597222,0.28681661,4.04740018,0.06444877,4.60791718e+05,1.70366714e+05,2.05760860e+04,2.92296076e+03,6.40929639e+02,1.44933656e+02,3.41670476e+01,7.79965008e+00,2.36365013e+00,7.46625010e-01
53219.56666667,0.26799865,4.05570709,0.07808435,4.60791718e+05,1.70366714e+05,2.05760860e+04,2.92296076e+03,6.40929639e+02,1.44933656e+02,3.41670476e+01,7.79965008e+00,2.36365013e+00,7.46625010e-01
53219.56736111,0.24915856,4.06367921,0.09171349,4.60791718e+05,1.70366714e+05,2.05760860e+04,2.92296076e+03,6.40929639e+02,1.44933656e+02,3.41670476e+01,7.79965008e+00,2.36365013e+00,7.46625010e-01
53219.56805556,0.23029806,4.07131733,0.10533510,5.11592712e+05,1.80017700e+05,2.01114426e+04,2.76456928e+03,6.07537985e+02,1.33026347e+02,3.07559501e+01,7.32454984e+00,2.23280001e+00,7.03724974e-01
53219.56875000,0.21141873,4.07862271,0.11894808,5.11592712e+05,1.80017700e+05,2.01114426e+04,2.76456928e+03,6.07537985e+02,1.33026347e+02,3.07559501e+01,7.32454984e+00,2.23280001e+00,7.03724974e-01
53219.56944444,0.19252213,4.08559612,0.13255132,5.11592712e+05,1.80017700e+05,2.01114426e+04,2.76456928e+03,6.07537985e+02,1.33026347e+02,3.07559501e+01,7.32454984e+00,2.23280001e+00,7.03724974e-01
53219.57013889,0.17360999,4.09223882,0.14614390,5.11592712e+05,1.80017700e+05,2.01114426e+04,2.76456928e+03,6.07537985e+02,1.33026347e+02,3.07559501e+01,7.32454984e+00,2.23280001e+00,7.03724974e-01
53219.57083333,0.15468389,4.09855161,0.15972470,5.62343567e+05,1.89143585e+05,2.05435886e+04,2.66233921e+03,5.93979895e+02,1.26401693e+02,2.87453011e+01,7.30369985e+00,2.22775014e+00,7.02899997e-01
