# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.05694444,0.66494302,3.80280999,-0.23106542,1.87754396e+11,1.02432332e+11,2.24926636e+10,5.37414821e+09,1.58609016e+09,5.13923141e+08,1.97564137e+08,6.85573849e+07,1.77962119e+07,4.46389456e+06
53219.05763889,0.64699287,3.81827803,-0.21762557,1.90096518e+11,1.03723830e+11,2.27780333e+10,5.44063788e+09,1.60526382e+09,5.20085804e+08,1.99991800e+08,6.94242971e+07,1.80230108e+07,4.52161235e+06
53219.05833333,0.62898120,3.83338288,-0.20416515,1.92438640e+11,1.05015328e+11,2.30634029e+10,5.50712754e+09,1.62443749e+09,5.26248466e+08,2.02419462e+08,7.02912092e+07,1.82498096e+07,4.57933014e+06
53219.05902778,0.61091019,3.84812641,-0.19068527,1.94806035e+11,1.06321922e+11,2.33527575e+10,5.57467411e+09,1.64394806e+09,5.32532034e+08,2.04899779e+08,7.11789017e+07,1.84829747e+07,4.63883649e+06
53219.05972222,0.59278205,3.86251020,-0.17718781,1.97198702e+11,1.07643614e+11,2.36460970e+10,5.64327758e+09,1.66379553e+09,5.38936506e+08,2.07432752e+08,7.20873742e+07,1.87225059e+07,4.70013140e+06
53219.06041667,0.57459898,3.87653597,-0.16367372,1.99591370e+11,1.08965305e+11,2.39394365e+10,5.71188106e+09,1.68364300e+09,5.45340979e+08,2.09965724e+08,7.29958470e+07,1.89620372e+07,4.76142631e+06
53219.06111111,0.55636317,3.89020514,-0.15014471,2.01984037e+11,1.10286997e+11,2.42327759e+10,5.78048453e+09,1.70349048e+09,5.51745452e+08,2.12498697e+08,7.39043195e+07,1.92015684e+07,4.82272121e+06
53219.06180556,0.53807650,3.90351943,-0.13660190,2.04376705e+11,1.11608688e+11,2.45261154e+10,5.84908801e+09,1.72333795e+09,5.58149925e+08,2.15031670e+08,7.48127922e+07,1.94410997e+07,4.88401612e+06
53219.06250000,0.51974102,3.91648041,-0.12304668,2.06769373e+11,1.12930380e+11,2.48194549e+10,5.91769148e+09,1.74318542e+09,5.64554397e+08,2.17564642e+08,7.57212648e+07,1.96806309e+07,4.94531102e+06
53219.06319444,0.50135893,3.92908934,-0.10948047,2.09136033e+11,1.14236480e+11,2.51076075e+10,5.98392814e+09,1.76226809e+09,5.70720565e+08,2.20020561e+08,7.66021837e+07,1.99088447e+07,5.00269040e+06
53219.06388889,0.48293210,3.94134794,-0.09590454,2.11476687e+11,1.15526990e+11,2.53905734e+10,6.04779802e+09,1.78058596e+09,5.76648431e+08,2.22399426e+08,7.74555490e+07,2.01257412e+07,5.05615427e+06
53219.06458333,0.46446258,3.95325747,-0.08232013,2.13817341e+11,1.16817500e+11,2.56735393e+10,6.11166788e+09,1.79890382e+09,5.82576296e+08,2.24778291e+08,7.83089143e+07,2.03426377e+07,5.10961812e+06
53219.06527778,0.44595210,3.96481934,-0.06872834,2.16157995e+11,1.18108010e+11,2.59565051e+10,6.17553776e+09,1.81722169e+09,5.88504161e+08,2.27157157e+08,7.91622796e+07,2.05595341e+07,5.16308199e+06
53219.06597222,0.42740284,3.97603497,-0.05513059,2.18518701e+11,1.19410364e+11,2.62425187e+10,6.24021131e+09,1.83580325e+09,5.94526219e+08,2.29576964e+08,8.00318372e+07,2.07813320e+07,5.21785104e+06
53219.06666667,0.40881639,3.98690561,-0.04152813,2.20899458e+11,1.20724561e+11,2.65315800e+10,6.30568856e+09,1.85464850e+09,6.00642469e+08,2.32037715e+08,8.09175873e+07,2.10080313e+07,5.27392528e+06
53219.06736111,0.39019463,3.99743267,-0.02792206,2.23280215e+11,1.22038758e+11,2.68206412e+10,6.37116581e+09,1.87349375e+09,6.06758719e+08,2.34498464e+08,8.18033373e+07,2.12347306e+07,5.32999952e+06
53219.06805556,0.37153958,4.00761756,-0.01431347,2.25660973e+11,1.23352955e+11,2.71097025e+10,6.43664306e+09,1.89233900e+09,6.12874969e+08,2.36959215e+08,8.26890874e+07,2.14614299e+07,5.38607376e+06
53219.06875000,0.35285284,4.01746123,-0.00070379,2.28041730e+11,1.24667153e+11,2.73987637e+10,6.50212031e+09,1.91118425e+09,6.18991219e+08,2.39419965e+08,8.35748374e+07,2.16881291e+07,5.44214800e+06
53219.06944444,0.33413627,4.02696494,0.01290589,2.30422487e+11,1.25981350e+11,2.76878249e+10,6.56759755e+09,1.93002950e+09,6.25107468e+08,2.41880715e+08,8.44605874e+07,2.19148284e+07,5.49822224e+06
53219.07013889,0.31539161,4.03613009,0.02651463,2.32803245e+11,1.27295547e+11,2.79768862e+10,6.63307480e+09,1.94887476e+09,6.31223719e+08,2.44341465e+08,8.53463375e+07,2.21415277e+07,5.55429648e+06
53219.07083333,0.29662042,4.04495762,0.04012101,2.35184002e+11,1.28609744e+11,2.82659474e+10,6.69855205e+09,1.96772001e+09,6.37339969e+08,2.46802215e+08,8.62320875e+07,2.23682269e+07,5.61037072e+06
53219.07152778,0.27782474,4.05344880,0.05372426,2.37564760e+11,1.29923942e+11,2.85550087e+10,6.76402930e+09,1.98656526e+09,6.43456219e+08,2.49262965e+08,8.71178376e+07,2.25949262e+07,5.66644496e+06
