# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.04375000,0.99100483,3.43738935,-0.48034436,2.13256320e+11,2.28501120e+11,4.75262400e+10,1.10928000e+10,3.20622000e+09,8.84790000e+08,3.36363750e+08,8.05265625e+07,1.61925010e+07,4.09286116e+06
53219.04444444,0.97471073,3.46013122,-0.46761426,2.16616320e+11,2.32195200e+11,4.83575999e+10,1.12886400e+10,3.26004000e+09,8.98994999e+08,3.41816250e+08,8.18578124e+07,1.64512510e+07,4.16586897e+06
53219.04513889,0.95830315,3.48246986,-0.45482970,2.19976320e+11,2.35889280e+11,4.91889600e+10,1.14844800e+10,3.31386000e+09,9.13200000e+08,3.47268750e+08,8.31890625e+07,1.67100010e+07,4.23887680e+06
53219.04583333,0.94178538,3.50440812,-0.44199272,2.23336320e+11,2.39583360e+11,5.00203200e+10,1.16803200e+10,3.36768000e+09,9.27404999e+08,3.52721250e+08,8.45203124e+07,1.69687510e+07,4.31188461e+06
53219.04652778,0.92516057,3.52594833,-0.42910551,2.26696320e+11,2.43277440e+11,5.08516800e+10,1.18761600e+10,3.42150000e+09,9.41610000e+08,3.58173750e+08,8.58515625e+07,1.72275010e+07,4.38489244e+06
53219.04722222,0.90843201,3.54709270,-0.41617011,2.30098560e+11,2.47027200e+11,5.16988800e+10,1.20760800e+10,3.47658000e+09,9.56175000e+08,3.63780000e+08,8.72259375e+07,1.74958604e+07,4.46118150e+06
53219.04791667,0.89160268,3.56784389,-0.40318872,2.33543040e+11,2.50832640e+11,5.25619200e+10,1.22800800e+10,3.53292000e+09,9.71100001e+08,3.69540000e+08,8.86434376e+07,1.77738292e+07,4.54075183e+06
53219.04861111,0.87467557,3.58820395,-0.39016292,2.36929920e+11,2.54592000e+11,5.34033600e+10,1.24778400e+10,3.58800000e+09,9.85552500e+08,3.75082500e+08,9.00131250e+07,1.80438292e+07,4.61709949e+06
53219.04930556,0.85765382,3.60817538,-0.37709505,2.40259200e+11,2.58305280e+11,5.42232001e+10,1.26693600e+10,3.64182000e+09,9.99532501e+08,3.80407500e+08,9.13350001e+07,1.83058605e+07,4.69022449e+06
53219.05000000,0.84054009,3.62776023,-0.36398653,2.43588480e+11,2.62018560e+11,5.50430400e+10,1.28608800e+10,3.69564000e+09,1.01351250e+09,3.85732500e+08,9.26568750e+07,1.85678917e+07,4.76334949e+06
