# GPS_1DAY_SPMO test orbit
# System: GSE
# Units: Re
# Data Delimiter: Comma
# Time format: YrMoDaHrMnSc
# Year,Month,Day,Hour,Minute,Second,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.200000000000e+01,5.999990000001e+01,2.937439693313e+00,-2.156314622583e+00,-2.024723710312e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.300000000000e+01,5.999990000001e+01,2.955162190237e+00,-2.125263011441e+00,-2.031746722764e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.400000000000e+01,5.999990000001e+01,2.972659175819e+00,-2.094049101319e+00,-2.038614161453e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.500000000000e+01,5.999990000001e+01,2.989929317150e+00,-2.062675271447e+00,-2.045325501640e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.600000000000e+01,5.999990000001e+01,3.006971289964e+00,-2.031143929054e+00,-2.051880227180e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.700000000000e+01,5.999990000001e+01,3.023783796112e+00,-1.999457477636e+00,-2.058277837306e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.800000000000e+01,5.999990000001e+01,3.040365554800e+00,-1.967618332428e+00,-2.064517843175e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,1.900000000000e+01,5.999990000001e+01,3.056715294526e+00,-1.935628936352e+00,-2.070599764890e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.000000000000e+01,5.999990000001e+01,3.072831769849e+00,-1.903491727803e+00,-2.076523137809e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.000000000000e+01,2.100000000000e+01,5.999990000001e+01,3.088713752975e+00,-1.871209156364e+00,-2.082287509323e+00
