# GPS_1DAY_AE9 test orbit
# System: GEI
# Units: RE
# MJD, X, Y, Z
5.702348958333e+04,4.141948976481e+00,-2.721450360642e-01,-3.886633907999e-01
5.702349305556e+04,4.158737881266e+00,-1.679734147020e-01,-2.398908973924e-01
5.702349652778e+04,4.167566991549e+00,-6.348028991469e-02,-9.065924950908e-02
5.702350000000e+04,4.168419407778e+00,4.113433570326e-02,5.874591954327e-02
5.702350347222e+04,4.161293498435e+00,1.456702304906e-01,2.080386493168e-01
5.702350694444e+04,4.146202902460e+00,2.499273134762e-01,3.569331945715e-01
5.702351041667e+04,4.123176504053e+00,3.537060338639e-01,5.051445672354e-01
5.702351388889e+04,4.092258374036e+00,4.568077668669e-01,6.523891017153e-01
5.702351736111e+04,4.053507690132e+00,5.590351730012e-01,7.983849680204e-01
5.702352083333e+04,4.006998620880e+00,6.601925897271e-01,9.428527310846e-01
5.702352430556e+04,3.952820186255e+00,7.600863991309e-01,1.085515875871e+00
5.702352777778e+04,3.891076079771e+00,8.585254118580e-01,1.226101355682e+00
5.702353125000e+04,3.821884480903e+00,9.553212129555e-01,1.364340086081e+00
5.702353472222e+04,3.745377821888e+00,1.050288535938e+00,1.499967479103e+00
5.702353819444e+04,3.661702535934e+00,1.143245614013e+00,1.632723944869e+00
5.702354166667e+04,3.571018780111e+00,1.234014524979e+00,1.762355384140e+00
5.702354513889e+04,3.473500116412e+00,1.322421543863e+00,1.888613691941e+00
5.702354861111e+04,3.369333197801e+00,1.408297457167e+00,2.011257206353e+00
5.702355208333e+04,3.258717399031e+00,1.491477898995e+00,2.130051188549e+00
5.702355555556e+04,3.141864441986e+00,1.571803659919e+00,2.244768263903e+00
5.702355902778e+04,3.018997974575e+00,1.649121002380e+00,2.355188872426e+00
5.702356250000e+04,2.890353166169e+00,1.723281938785e+00,2.461101665931e+00
5.702356597222e+04,2.756176242033e+00,1.794144525621e+00,2.562303928072e+00
5.702356944444e+04,2.616724015860e+00,1.861573132391e+00,2.658601958429e+00
5.702357291667e+04,2.472263403159e+00,1.925438699134e+00,2.749811440273e+00
5.702357638889e+04,2.323070890846e+00,1.985618991885e+00,2.835757805410e+00
5.702357986111e+04,2.169432037107e+00,2.041998823783e+00,2.916276549956e+00
5.702358333333e+04,2.011640905632e+00,2.094470284224e+00,2.991213561595e+00
5.702358680556e+04,1.849999513024e+00,2.142932941643e+00,3.060425409189e+00
5.702359027778e+04,1.684817228939e+00,2.187294042102e+00,3.123779626387e+00
5.702359375000e+04,1.516410216470e+00,2.227468677073e+00,3.181154951243e+00
