# GPS_1DAY_SPMHE test orbit
# System: MAG
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702368750000e+04,-2.310345063860e+00,-2.838366630392e+00,1.996708299465e+00
5.702369097222e+04,-2.291568481959e+00,-2.926625984193e+00,1.887971852787e+00
5.702369444444e+04,-2.273037124831e+00,-3.010671018175e+00,1.774831182181e+00
5.702369791667e+04,-2.254601598474e+00,-3.090342183775e+00,1.657534402392e+00
5.702370138889e+04,-2.236106133258e+00,-3.165494662298e+00,1.536338627888e+00
5.702370486111e+04,-2.217389439432e+00,-3.235998877577e+00,1.411509409813e+00
5.702370833333e+04,-2.198285585217e+00,-3.301740971869e+00,1.283320114504e+00
5.702371180556e+04,-2.178624903425e+00,-3.362623200588e+00,1.152051308240e+00
5.702371527778e+04,-2.158234914748e+00,-3.418564272473e+00,1.017990099908e+00
5.702371875000e+04,-2.136941274047e+00,-3.469499600812e+00,8.814295133573e-01
5.702372222222e+04,-2.114568722186e+00,-3.515381505499e+00,7.426678030760e-01
5.702372569444e+04,-2.090942048869e+00,-3.556179334066e+00,6.020077806873e-01
5.702372916667e+04,-2.065887059042e+00,-3.591879512681e+00,4.597561325757e-01
5.702373263889e+04,-2.039231533950e+00,-3.622485531636e+00,3.162227060331e-01
5.702373611111e+04,-2.010806195167e+00,-3.648017847915e+00,1.717198373792e-01
5.702373958333e+04,-1.980445650401e+00,-3.668513729221e+00,2.656162840426e-02
5.702374305556e+04,-1.947989330334e+00,-3.684027021345e+00,-1.189367507583e-01
5.702374652778e+04,-1.913282400570e+00,-3.694627850242e+00,-2.644597883582e-01
5.702375000000e+04,-1.876176661796e+00,-3.700402251457e+00,-4.096923076198e-01
5.702375347222e+04,-1.836531412282e+00,-3.701451738912e+00,-5.543201890438e-01
5.702375694444e+04,-1.794214284850e+00,-3.697892806751e+00,-6.980310634889e-01
5.702376041667e+04,-1.749102049610e+00,-3.689856370184e+00,-8.405149988164e-01
5.702376388889e+04,-1.701081370530e+00,-3.677487145277e+00,-9.814652021020e-01
5.702376736111e+04,-1.650049535191e+00,-3.660942974778e+00,-1.120578664179e+00
5.702377083333e+04,-1.595915124125e+00,-3.640394097532e+00,-1.257556840473e+00
5.702377430556e+04,-1.538598640955e+00,-3.616022369183e+00,-1.392106290264e+00
5.702377777778e+04,-1.478033079756e+00,-3.588020431097e+00,-1.523939328501e+00
5.702378125000e+04,-1.414164457425e+00,-3.556590843849e+00,-1.652774616391e+00
5.702378472222e+04,-1.346952270140e+00,-3.521945172691e+00,-1.778337779585e+00
5.702378819444e+04,-1.276369900187e+00,-3.484303040904e+00,-1.900361984681e+00
5.702379166667e+04,-1.202404962369e+00,-3.443891151862e+00,-2.018588496047e+00
5.702379513889e+04,-1.125059575033e+00,-3.400942276497e+00,-2.132767230697e+00
5.702379861111e+04,-1.044350591706e+00,-3.355694231080e+00,-2.242657250869e+00
5.702380208333e+04,-9.603097425906e-01,-3.308388822628e+00,-2.348027272493e+00
5.702380555556e+04,-8.729837248930e-01,-3.259270788274e+00,-2.448656125419e+00
5.702380902778e+04,-7.824342089493e-01,-3.208586715233e+00,-2.544333208382e+00
5.702381250000e+04,-6.887378064591e-01,-3.156583972165e+00,-2.634858883584e+00
5.702381597222e+04,-5.919859422376e-01,-3.103509623630e+00,-2.720044877572e+00
5.702381944444e+04,-4.922846734194e-01,-3.049609356849e+00,-2.799714636657e+00
5.702382291667e+04,-3.897544428214e-01,-2.995126417491e+00,-2.873703654403e+00
5.702382638889e+04,-2.845297493897e-01,-2.940300549678e+00,-2.941859781678e+00
