# GPS_1DAY_SPMH test orbit
# System: GDZ
# Units: km
# Data Delimiter: Comma
# Time format: YrMoDaGmt
# Year,Month,Day,Gmt,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.160000000000e+04,2.018362798713e+04,-4.043458487810e-01,-1.010126500539e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.190000000224e+04,2.018366621781e+04,-2.460765825380e+00,-9.915769460665e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.220000000447e+04,2.018375904686e+04,-4.515610740774e+00,-9.725842754177e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.249999999665e+04,2.018390576401e+04,-6.567548856719e+00,-9.527746031135e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.279999999888e+04,2.018410524671e+04,-8.615221192894e+00,-9.317676991168e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.310000000112e+04,2.018435596863e+04,-1.065722803664e+01,-9.091740415200e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.340000000335e+04,2.018465601143e+04,-1.269211548434e+01,-8.845917950059e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.369999999553e+04,2.018500307935e+04,-1.471836069432e+01,-8.576037104634e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.399999999776e+04,2.018539451685e+04,-1.673435644037e+01,-8.277739264872e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.430000000000e+04,2.018582732884e+04,-1.873839363594e+01,-7.946446856399e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.460000000224e+04,2.018629820364e+04,-2.072864293260e+01,-7.577329577407e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.490000000447e+04,2.018680353831e+04,-2.270313410833e+01,-7.165270104132e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.519999999665e+04,2.018733946617e+04,-2.465973331834e+01,-6.704829733488e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.549999999888e+04,2.018790188645e+04,-2.659611826696e+01,-6.190214694149e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.580000000112e+04,2.018848649561e+04,-2.850975007185e+01,-5.615244611673e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.610000000335e+04,2.018908882024e+04,-3.039784293004e+01,-4.973324648251e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.639999999553e+04,2.018970425134e+04,-3.225733041548e+01,-4.257424160438e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.669999999776e+04,2.019032807961e+04,-3.408482918513e+01,-3.460065216904e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.700000000000e+04,2.019095553137e+04,-3.587659931169e+01,-2.573326190462e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.730000000224e+04,2.019158180518e+04,-3.762850301709e+01,-1.588866323999e+00
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.760000000447e+04,2.019220210856e+04,-3.933596184152e+01,-4.979798322784e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.789999999665e+04,2.019281169463e+04,-4.099391416243e+01,7.083102976108e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.819999999888e+04,2.019340589855e+04,-4.259677575759e+01,2.039106680147e+00
