# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.76527778,-0.24889385,-2.86649221,4.85399134
57040.76597222,-0.23205981,-2.86865144,4.87255323
57040.76666667,-0.21521867,-2.87072289,4.89096594
57040.76736111,-0.19837101,-2.87270727,4.90923018
57040.76805556,-0.18151739,-2.87460523,4.92734668
57040.76875000,-0.16465837,-2.87641746,4.94531612
57040.76944444,-0.14779447,-2.87814461,4.96313921
57040.77013889,-0.13092625,-2.87978733,4.98081662
57040.77083333,-0.11405422,-2.88134627,4.99834903
57040.77152778,-0.09717891,-2.88282206,5.01573711
57040.77222222,-0.08030082,-2.88421533,5.03298151
57040.77291667,-0.06342045,-2.88552668,5.05008289
57040.77361111,-0.04653831,-2.88675673,5.06704189
57040.77430556,-0.02965486,-2.88790608,5.08385914
57040.77500000,-0.01277060,-2.88897531,5.10053527
57040.77569444,0.00411400,-2.88996502,5.11707089
57040.77638889,0.02099849,-2.89087577,5.13346663
57040.77708333,0.03788240,-2.89170813,5.14972308
57040.77777778,0.05476529,-2.89246267,5.16584084
57040.77847222,0.07164671,-2.89313994,5.18182050
57040.77916667,0.08852622,-2.89374048,5.19766265
57040.77986111,0.10540340,-2.89426482,5.21336785
57040.78055556,0.12227782,-2.89471352,5.22893668
57040.78125000,0.13914906,-2.89508707,5.24436970
57040.78194444,0.15601670,-2.89538602,5.25966747
57040.78263889,0.17288035,-2.89561086,5.27483053
57040.78333333,0.18973960,-2.89576210,5.28985943
57040.78402778,0.20659405,-2.89584025,5.30475469
57040.78472222,0.22344332,-2.89584578,5.31951686
57040.78541667,0.24028702,-2.89577920,5.33414645
57040.78611111,0.25712476,-2.89564097,5.34864398
57040.78680556,0.27395619,-2.89543158,5.36300996
57040.78750000,0.29078091,-2.89515149,5.37724490
57040.78819444,0.30759858,-2.89480117,5.39134930
57040.78888889,0.32440883,-2.89438106,5.40532364
57040.78958333,0.34121130,-2.89389163,5.41916842
57040.79027778,0.35800564,-2.89333332,5.43288411
57040.79097222,0.37479151,-2.89270657,5.44647120
57040.79166667,0.39156856,-2.89201181,5.45993015
57040.79236111,0.40833645,-2.89124948,5.47326143
57040.79305556,0.42509486,-2.89042000,5.48646549
57040.79375000,0.44184344,-2.88952379,5.49954280
57040.79444444,0.45858188,-2.88856126,5.51249380
57040.79513889,0.47530985,-2.88753284,5.52531893
57040.79583333,0.49202704,-2.88643891,5.53801864
57040.79652778,0.50873312,-2.88527989,5.55059335
57040.79722222,0.52542778,-2.88405617,5.56304350
